config,total,single_hop,multi_hop,temporal,open_domain,adversarial,wall_seconds
default,7,2,2,1,0,2,258
no_query_rewrite,7,2,2,1,0,2,11
no_floor,12,3,5,2,0,2,33
no_multihop,7,2,2,1,0,2,29
no_low_score_filter,8,1,2,1,0,4,30
no_tier_a,8,3,2,1,0,2,28
no_tier_b,8,1,2,1,0,4,31
no_tier_c,7,2,2,1,0,2,30
floor_after_multihop,7,2,2,1,0,2,29
filter_before_multihop,7,2,2,1,0,2,31
floor_last_in_shaping,7,2,2,1,0,2,32
recent_first,7,2,2,1,0,2,31
tier_a_only,8,1,2,1,0,4,33
tier_b_only,8,3,2,1,0,2,33
baseline_inside,9,1,2,2,0,4,11
floor_only,8,1,2,1,0,4,11
multihop_only,5,0,0,0,0,5,12
tier_a_with_floor,8,1,2,1,0,4,11
degenerate,5,0,0,0,0,5,11
noisy_traffic,8,2,1,1,0,4,31
factual_lookup,13,4,5,2,0,2,11
chat_with_recency,8,1,2,1,0,4,30
